,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7634,0.255,0.944,9,-3.523,1,0.122,0.0836,1.75e-05,0.974,0.515,142.351,audio_features,1IFre3rf2SKSrIRPGzBroj,spotify:track:1IFre3rf2SKSrIRPGzBroj,https://api.spotify.com/v1/tracks/1IFre3rf2SKSrIRPGzBroj,https://api.spotify.com/v1/audio-analysis/1IFre3rf2SKSrIRPGzBroj,328760,4
7635,0.358,0.597,9,-6.911,1,0.0307,0.4,1.88e-05,0.709,0.185,97.395,audio_features,1s1jIRzI84DtGyKTOCx8tR,spotify:track:1s1jIRzI84DtGyKTOCx8tR,https://api.spotify.com/v1/tracks/1s1jIRzI84DtGyKTOCx8tR,https://api.spotify.com/v1/audio-analysis/1s1jIRzI84DtGyKTOCx8tR,208093,3
7636,0.123,0.85,9,-4.2,1,0.0648,0.000713,7.61e-05,0.723,0.48,97.89,audio_features,2g2zqKVgZ6GcCP9hfFsr8W,spotify:track:2g2zqKVgZ6GcCP9hfFsr8W,https://api.spotify.com/v1/tracks/2g2zqKVgZ6GcCP9hfFsr8W,https://api.spotify.com/v1/audio-analysis/2g2zqKVgZ6GcCP9hfFsr8W,79173,4
7637,0.303,0.896,10,-8.064,1,0.0612,0.00625,0.879,0.567,0.322,124.705,audio_features,5fMEiBuVLYNIfDDIizQIOP,spotify:track:5fMEiBuVLYNIfDDIizQIOP,https://api.spotify.com/v1/tracks/5fMEiBuVLYNIfDDIizQIOP,https://api.spotify.com/v1/audio-analysis/5fMEiBuVLYNIfDDIizQIOP,60213,4
7638,0.409,0.917,1,-14.562,1,0.083,0.375,0.794,0.598,0.127,126.592,audio_features,6KKKVgFcYBtjqTC7zwfkFO,spotify:track:6KKKVgFcYBtjqTC7zwfkFO,https://api.spotify.com/v1/tracks/6KKKVgFcYBtjqTC7zwfkFO,https://api.spotify.com/v1/audio-analysis/6KKKVgFcYBtjqTC7zwfkFO,50640,4
7639,0.583,0.667,3,-7.351,1,0.029,0.268,3.63e-05,0.166,0.53,140.027,audio_features,4sdWROMGvZie7FyT29Z6NU,spotify:track:4sdWROMGvZie7FyT29Z6NU,https://api.spotify.com/v1/tracks/4sdWROMGvZie7FyT29Z6NU,https://api.spotify.com/v1/audio-analysis/4sdWROMGvZie7FyT29Z6NU,233920,4
7640,0.6,0.655,0,-10.692,1,0.0336,0.499,0.000139,0.0816,0.678,75.333,audio_features,5kiURiC034JB5UppXU7IzK,spotify:track:5kiURiC034JB5UppXU7IzK,https://api.spotify.com/v1/tracks/5kiURiC034JB5UppXU7IzK,https://api.spotify.com/v1/audio-analysis/5kiURiC034JB5UppXU7IzK,232893,4
7641,0.665,0.954,6,-2.946,1,0.0375,0.237,0.000945,0.314,0.798,102.073,audio_features,1vF2Jyy74T2L59YVPCg8pl,spotify:track:1vF2Jyy74T2L59YVPCg8pl,https://api.spotify.com/v1/tracks/1vF2Jyy74T2L59YVPCg8pl,https://api.spotify.com/v1/audio-analysis/1vF2Jyy74T2L59YVPCg8pl,236893,4
7642,0.61,0.829,11,-5.963,1,0.063,0.259,0.00106,0.286,0.697,86.97,audio_features,3VS44iz5VXn3p4Gavx0uvA,spotify:track:3VS44iz5VXn3p4Gavx0uvA,https://api.spotify.com/v1/tracks/3VS44iz5VXn3p4Gavx0uvA,https://api.spotify.com/v1/audio-analysis/3VS44iz5VXn3p4Gavx0uvA,204360,4
7643,0.471,0.794,9,-5.168,1,0.0323,0.631,0.271,0.141,0.294,148.158,audio_features,2BzNo1uv1YAZxnzEjDZO5E,spotify:track:2BzNo1uv1YAZxnzEjDZO5E,https://api.spotify.com/v1/tracks/2BzNo1uv1YAZxnzEjDZO5E,https://api.spotify.com/v1/audio-analysis/2BzNo1uv1YAZxnzEjDZO5E,222773,4
