song,uri,artist,cluster
Bitter,spotify:track:4hvSlqa3E59Kslv18J9cY0,The Vamps,384
Part Of Me,spotify:track:7uZbPzW6xKDyTKmzasboQz,The Vamps,208
Protocol,spotify:track:5tfqdcTziYUascxZoby2HV,The Vamps,345
Nothing But You,spotify:track:1jV3pX9x1QCFix0ERaedDq,The Vamps,139
Treading Water,spotify:track:4KL7rCbCrK5w4B4euIeK7s,The Vamps,289
Married In Vegas - Acoustic,spotify:track:2hB2Yay5HY2ANGJnFgO1bH,The Vamps,452
Better - Acoustic,spotify:track:2EPWKtv0yQFFE5ji0Nq6vf,The Vamps,492
Glory Days - Acoustic,spotify:track:3sf3aAJnHDlb7xJeRBsPZ9,The Vamps,123
Would You - Acoustic,spotify:track:51G7ovjtibJXWaf3KXWuFX,The Vamps,76
Chemicals - Acoustic,spotify:track:5iFE0zYOokYGgTLKwVWwy9,The Vamps,141
Treading Water - Acoustic,spotify:track:1KVsJiKlLKBs9JdtCJ4PWU,The Vamps,307
Dangerous (feat. Sam Martin),spotify:track:4g4TvqbOjxM3RqwIQbBhAe,David Guetta,42
What I Did for Love (feat. Emeli Sandé),spotify:track:3gP7XgnHQjvGDLnDm7dcY1,David Guetta,2
No Money No Love (feat. Elliphant & Ms. Dynamite),spotify:track:3e9bhP4zTG9n7NaiQmOupb,David Guetta,167
Lovers on the Sun (feat. Sam Martin),spotify:track:5nWWusyZufQoSyDDi46CZx,David Guetta,245
Goodbye Friend (feat. The Script),spotify:track:4msSzmWNsA4LXcJZmGolhq,David Guetta,2
"Lift Me Up (feat. Nico & Vinz, Ladysmith Black Mambazo)",spotify:track:1Aa5qzYECYfxtLYF05iWaE,David Guetta,383
Listen (feat. John Legend),spotify:track:7oDjezV7QAs9GsTkT9k4b3,David Guetta,381
Bang My Head (feat. Sia),spotify:track:5s2Mz7KxwFR6sUjvAFXoMW,David Guetta,197
Yesterday (feat. Bebe Rexha),spotify:track:3WmhtVYG8GorpEknzT8Jvn,David Guetta,357
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",spotify:track:3D10gGOdO5pbrjsfWqgttI,David Guetta,405
Sun Goes Down (feat. MAGIC! & Sonny Wilson),spotify:track:7r72oSND8v9AdjJejBdlfc,David Guetta,45
S.T.O.P (feat. Ryan Tedder),spotify:track:5icciTRNAOUgGDK4MBGUyZ,David Guetta,383
I'll Keep Loving You (feat. Birdy & Jaymes Young),spotify:track:4GkelasMIeT2bcnH7bcYu9,David Guetta,242
The Whisperer (feat. Sia),spotify:track:4bGGEg2BiH0O8yxQRhi4Fx,David Guetta,482
Bang My Head (feat. Sia & Fetty Wap),spotify:track:51frTvITssOkXvJM7iwn26,David Guetta,159
Clap Your Hands,spotify:track:7IepV7rTJYOX8P3KA9bBd3,David Guetta,129
Bad (feat. Vassy) - Radio Edit,spotify:track:2jcR7G4B3tTnuYR2CJzCo7,David Guetta,245
Shot Me Down (feat. Skylar Grey) - Radio Edit,spotify:track:6flXv5RQSGYMwCazxHsOE4,David Guetta,342
Blast Off - Radio Edit,spotify:track:60h8FdeudiJHhqNOwGZG86,David Guetta,129
The Death of EDM (feat. Beardyman),spotify:track:2Eb1Hk0pZGZDKeX9d6kNn9,David Guetta,129
Pelican - Edit,spotify:track:4lKaQizn2wwYisOlOMKC7P,David Guetta,81
