,song_uri,song,artist
177,spotify:track:2N7Nx2tjIwwyVDgxtpEqZ2,Patience,Vanessa Carlton
178,spotify:track:3cRebmeYxU5Dh0bWT1Luvw,The Only Way to Love,Vanessa Carlton
179,spotify:track:3YUKECcCurfcp4RT9eLaLA,Salesman,Vanessa Carlton
180,spotify:track:7Jk10R45oSAoBj0x9PGT4g,Miner's Canary,Vanessa Carlton
181,spotify:track:7rfy81g2ucaOMcD5Rru0Dr,Die Dinosaur,Vanessa Carlton
182,spotify:track:5gAcMuhFT7WXOoS76QFsY3,Love Is an Art,Vanessa Carlton
183,spotify:track:43jIumw83QZSoPvdC8yBKs,"Kiss My (Uh Oh) [Girl Power Remix] - feat. Becky Hill, RAYE & Stefflon Don",Anne-Marie
184,spotify:track:64ibgVj4DWgEjZ8Qyrxvxs,Kiss My (Uh Oh),Anne-Marie
185,spotify:track:5QfBuE8VSeZHRnQta8BsqO,Intro - Live From Spotify NYC,Macklemore & Ryan Lewis
186,spotify:track:6rLNXRpMGdmlx6GoqzfxW0,Same Love - Live From Spotify NYC feat. Mary Lambert,Macklemore & Ryan Lewis
187,spotify:track:4AKZcuoEzm4vhWpKiwo8zU,Interview - Live From Spotify NYC,Macklemore & Ryan Lewis
188,spotify:track:3wMtW7OyslemHe5Ft5sNyA,Thrift Shop - Live From Spotify NYC feat. Wanz,Macklemore & Ryan Lewis
189,spotify:track:12FMNnfiiAa5EDug8U9kpD,Starting Over - Live From Spotify NYC,Macklemore & Ryan Lewis
190,spotify:track:4FQDZwcvvXpqpPMquZ6qTV,Can't Hold Us - Live From Spotify NYC feat. Ray Dalton,Macklemore & Ryan Lewis
191,spotify:track:63qOBLF8403qXWcfi4sAQx,da primeira vez (from the first time),Bryan Behr
192,spotify:track:0ckumbydCTVz1XBj3yLLgm,Is That It?,Katrina & The Waves
193,spotify:track:5eF1DjXekEdfGsPHaGX1mk,Tears For Me,Katrina & The Waves
194,spotify:track:1EEzkauJaCiBjvfDBErYi3,Sun Street,Katrina & The Waves
195,spotify:track:0tSEuVM9afBUEESDIKJZNA,Lovely Lindsey,Katrina & The Waves
196,spotify:track:3JFEEI6xTdi7sAAPjjHMvl,Riding Shotgun,Katrina & The Waves
197,spotify:track:064sEQnuwcTe0rfnwPJU91,Sleep On My Pillow,Katrina & The Waves
198,spotify:track:5YN8epJXJuNYWn8KFHkIGu,Money Chain,Katrina & The Waves
199,spotify:track:1frEzaW7mpviVYmbuEXOlM,Mr. Star,Katrina & The Waves
200,spotify:track:59MEHOZOu6JUbTl15FAyty,Love That Boy,Katrina & The Waves
201,spotify:track:4KWLCP5WorDjxDG4s9GtBj,Stop Trying To Prove (How Much Of A Man You Is),Katrina & The Waves
202,spotify:track:3HbG9aYup2FojZxxXHPlMg,We All Want The Same Thing,Rixton
203,spotify:track:796XpULv0vnQZLnV8uw1bh,We All Want The Same Thing - Moto Blanco Club Mix,Rixton
204,spotify:track:1VhlhrSlvdPzaPPT75r2At,We All Want The Same Thing - Moto Blanco Radio Edit,Rixton
205,spotify:track:0k79twDYBMpqqjVLuEnYkh,x2,Anne-Marie
206,spotify:track:2j7WMNAPSknc94Id7Ciuas,Don't Play,Anne-Marie
207,spotify:track:1o8kO8YyMWRAeb9bE2AIxO,Who I Am,Anne-Marie
208,spotify:track:3fGW43fnu3OHEw6ohTC2Bw,Our Song,Anne-Marie
209,spotify:track:7fstlS6QMUp3rHA4Ne0C2k,Way Too Long,Nathan Dawe
210,spotify:track:4bhe0XXBRo4EAPKgy4M2xz,Breathing,Anne-Marie
211,spotify:track:3zmxLLhTpgdLTAPPVbVRqe,Unlovable (feat. Rudimental),Anne-Marie
212,spotify:track:3RjL8AnKslWWPmlNLTJsAU,Beautiful,Anne-Marie
213,spotify:track:0Kryggxs2gZqnkujFYEH1D,Tell Your Girlfriend,Anne-Marie
214,spotify:track:1jAma2op1mdGxvqxkBK5So,Better Not Together,Anne-Marie
215,spotify:track:1RkgmvNX2D77vyG6Y9N3jv,Therapy,Anne-Marie
216,spotify:track:41RffU6OSMWONC8uTjyude,Uptown's First Finale (feat. Stevie Wonder & Andrew Wyatt),Mark Ronson
217,spotify:track:3hoh1AoKwuC3VZ8CYj6YA9,Summer Breaking (feat. Kevin Parker),Mark Ronson
218,spotify:track:2ENBaEOC0Jgi2au9Jt7y7d,Feel Right (feat. Mystikal),Mark Ronson
219,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),Mark Ronson
220,spotify:track:2VNSUMHI1R3B6wVV8P7ZlG,I Can't Lose (feat. Keyone Starr),Mark Ronson
221,spotify:track:1v0ufp7FLTFcykUGOmFZKa,Daffodils (feat. Kevin Parker),Mark Ronson
222,spotify:track:523MOh0wR5AN3YUMADvPtz,Crack In the Pearl (feat. Andrew Wyatt),Mark Ronson
223,spotify:track:2OTdfTzu0VAmnykkQDrFZr,In Case of Fire (feat. Jeff Bhasker),Mark Ronson
224,spotify:track:5lc74vqFs7tNGxE4mOfrbr,Leaving Los Feliz (feat. Kevin Parker),Mark Ronson
225,spotify:track:5LdjK8Fvd454DgkIoJR7C9,Heavy and Rolling (feat. Andrew Wyatt),Mark Ronson
226,spotify:track:3LvmU7SNQIakTe4lxiNNvR,"Crack In the Pearl, Pt. II (feat. Stevie Wonder & Jeff Bhasker)",Mark Ronson
227,spotify:track:59ZEgmLmXD7e7UZwlI78fP,成长 (Older),Alec Benjamin
228,spotify:track:1dTTqshrxWQSFMzmEuPWu0,Water Fountain,Alec Benjamin
229,spotify:track:4r6lnU74031FEZU6vxKgCn,Older,Alec Benjamin
230,spotify:track:3nXPu7UhE7R9hvWeLA15t6,The Way You Felt,Alec Benjamin
231,spotify:track:3bMsT2EiXYKSUjc9uvIkI3,Wake Me Up - Avicii By Avicii,Avicii
232,spotify:track:1pGnyWdri6sC7lHmYdX1TH,You Make Me - Avicii By Avicii,Avicii
233,spotify:track:3h5vVpJ7RlYVWtOG0403bL,Hey Brother - Avicii By Avicii,Avicii
234,spotify:track:3XfGM99TOeyPsnDtgTqtkT,Addicted To You - Avicii By Avicii,Avicii
235,spotify:track:3V368AqKw3yoyEBwXWXW8s,Dear Boy - Avicii By Avicii,Avicii
236,spotify:track:3HKV2TCxpAAlHQphu4cJD0,Liar Liar - Avicii By Avicii,Avicii
237,spotify:track:3FHVgWirraiztByoWz0pD7,Shame On Me - Avicii By Avicii,Avicii
238,spotify:track:7wP8uxXoB9OctkMwmD52md,Lay Me Down - Avicii By Avicii,Avicii
239,spotify:track:1jJudDuP9BhE6fQrdiLTQY,Hope There's Someone - Avicii By Avicii,Avicii
240,spotify:track:3ZsLuJ8uU0lE6rGTkDaqEg,Alone Together,Dan + Shay
241,spotify:track:42fw0rxRO2xbesF6mJfd4Y,Tequila,Dan + Shay
