web-scraper-order;web-scraper-start-url;link;link-href
1639224633-243;"https://www.coursera.org/search?query=free&page=37&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Operations Research (3): TheoryNational Taiwan UniversityCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 5 out of five stars. 19 reviews5(19)2.1k studentsAdvanced LevelAdvanced""";https://www.coursera.org/learn/operations-research-theory
1639224679-409;"https://www.coursera.org/search?query=free&page=21&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Marchés financiersYale UniversityCourseBeginner LevelBeginner""";https://www.coursera.org/learn/financial-markets-global-fr
1639224685-423;"https://www.coursera.org/search?query=free&page=19&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Introduction to Advanced VibrationsKorea Advanced Institute of Science and Technology(KAIST)CourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 46 reviews4.8(46)5.2k studentsIntermediate LevelIntermediate""";https://www.coursera.org/learn/introduction-advanced-vibrations
1639224610-164;"https://www.coursera.org/search?query=free&page=45&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Global Postharvest Loss Prevention: Fundamentals, Technologies, and ActorsUniversity of Illinois at Urbana-ChampaignCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 132 reviews4.8(132)7.1k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/postharvest
1639224607-156;"https://www.coursera.org/search?query=free&page=46&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Analyzing the UniverseRutgers the State University of New JerseyCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 182 reviews4.8(182)14k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/analyze
1639224645-283;"https://www.coursera.org/search?query=free&page=33&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Pre-CalculusUniversitat Autònoma de BarcelonaCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 520 reviews4.7(520)74k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/introduccion-al-calculo
1639224702-488;"https://www.coursera.org/search?query=free&page=13&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Transformation of the Global Food SystemUniversity of CopenhagenCourseFilled StarFilled StarFilled StarFilled StarFilled StarRated 4.8 out of five stars. 662 reviews4.8(662)15k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/transformation-global-food-system
1639224714-524;"https://www.coursera.org/search?query=free&page=9&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Research Data Management and SharingThe University of North Carolina at Chapel HillCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 558 reviews4.7(558)28k studentsMixed LevelMixed""";https://www.coursera.org/learn/data-management
1639224702-485;"https://www.coursera.org/search?query=free&page=13&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"CrowdfundingUniversity of PennsylvaniaCourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.6 out of five stars. 325 reviews4.6(325)9.6k studentsMixed LevelMixed""";https://www.coursera.org/learn/wharton-crowdfunding
1639224726-569;"https://www.coursera.org/search?query=free&page=5&index=prod_all_launched_products_term_optimization&topic=Business&topic=Physical%20Science%20and%20Engineering&topic=Computer%20Science&topic=Math%20and%20Logic&topic=Data%20Science&allLanguages=English&allLanguages=Spanish""";"Designing the Future of WorkUNSW Sydney (The University of New South Wales)CourseFilled StarFilled StarFilled StarFilled StarHalf Filled StarRated 4.7 out of five stars. 165 reviews4.7(165)13k studentsBeginner LevelBeginner""";https://www.coursera.org/learn/designing-future-of-work
